IDENT,PROBLEM,ACTION
103940,number 2 and number 4 intake gaskets leaking on left-hand engine.,removed and replaced intake gaskets.
103941,number 1 and number 2 rocker cover gaskets leaking on left-hand engine.,removed and replaced rocker covers.
103942,pilot reported that cylinder number 1 forward baffle seal needed to be looked to be looked,"looked at baffle seal, repositioned, checked good"
103943,all rocker cover screws loose.,tightened all screws on rocker covers.
103944,right-hand engine number 1 cylinder has low compression 5 out of 80.,leak check good.
103945,right-hand engine number 3 cylinder has low compression 20 out of 80.,leak check good.
103946,right-hand engine number 4 baffle cracked at oil cooler.,stop drilled crack.
103947,number 4 cylinder baffle seal rivet pulled through.,resecured baffle seal.
103948,right-hand engine number 1 and number 3 intakes are leaking.,removed and replaced gaskets.
103949,right-hand engine number 1 cylinder has low compression 5 out of 80.,removed cylinder and piston assembly. started installation of cylinder
103950,right-hand engine number 1 cylinder has low compression 5 out of 80.,finished installing cylinder in accordance with lycoming overhaul manual
103951,right-hand engine number 3 cylinder has low compression 20 out of 80.,removed cylinder and piston assembly. started installation of cylinder
103952,right-hand engine number 3 cylinder has low compression 20 out of 80.,finished installing cylinder in accordance with lycoming overhaul manual
103953,number 3 rocker cover missing a screw.,installed new screw.
103954,baffle screw missing on right-hand side by oil dipstick housing.,installed new screw.
103955,"1, 2, and 3 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
103956,number 4 intake gasket leaking.,removed and replaced intake gasket.
103957,"while taxiing, engine quit and could not restart.",started aircraft several times using normal procedures.
103958,engine baffle patch cracked above number 4 cylinder.,stop drilled crack.
103959,"on run up; right-hand engine, left-hand magneto failed magneto check. cylinder number 1 had no temperatures","recowled right, hand engine."
103960,"on run up; right-hand engine, left-hand magneto failed magneto check. cylinder number 1 had no temperatures","ran aircraft, operations and leak check good."
103961,"on run up; right-hand engine, left-hand magneto failed magneto check. cylinder number 1 had no temperatures",found cylinder number 1 top and bottom plugs wet with oil and electrode
103962,"on run up; right-hand engine, left-hand magneto failed magneto check. cylinder number 1 had no temperatures","performed ground run, found right-hand engine to run rough anytime"
103963,"on run up; right-hand engine, left-hand magneto failed magneto check. cylinder number 1 had no temperatures","removed and replaced cylinder assembly, dry tappet clearance checked"
103964,left engine number 2 intake leaking.,removed and replaced gasket.
103965,"on run up, observed engine roughness. consistent with sticking",reamed number 4 exhaust guide in accordance with lycoming.
103966,screw missing from cylinder number 2 forward baffle.,installed new screw.
103967,number 4 intake gasket leaking.,removed and replaced gasket.
103968,number 1 rocker cover gasket leaking.,removed and replaced gasket.
103969,"number 2, 3, and 4 intake gaskets leaking.",removed and replaced intake gaskets.
103970,right-hand number 1 cylinder baffle has a crack.,stop drilled crack.
103971,right-hand number 2 and number 4 rocker gaskets are leaking.,replaced gaskets.
103972,right-hand number 3 and number 4 intake gaskets are leaking.,replaced gaskets.
103973,number 2 cylinder bottom front baffling has a crack.,stop drilled crack.
103974,"left,hand engine had c clip in oil screen",removed left-hand engine and propeller.
103975,right-hand number 3 rear and number 4 side baffle seals torn.,replaced number 3 baffle seal and resecured number 4 side.
103976,"left,hand engine had c clip in oil screen",no other fod or defects noted.
103977,"left,hand engine had c clip in oil screen","disassembled, inspected, verified that snap ring was missed"
103978,"left,hand engine had c clip in oil screen","installed propeller, but is not torqued or safetied. installed propeller, but is not torqued or safetied."
103979,"left,hand engine had c clip in oil screen",prepped engine for installation. fixed left-hand aft lower back
103980,"left,hand engine had c clip in oil screen","continued installation. safetied propeller, timed magnetos"
103981,"cylinder number 1, 2 and 3 intake gaskets are leaking.",removed and replaced intake gaskets.
103982,cylinder number 1 rocker cover gasket is leaking.,removed and replaced rocker cover gasket.
103983,number 4 intake gasket on left-hand engine leaking.,removed and replaced gasket.
103984,number 3 rocker cover gasket leaking on right-hand engine.,removed and replaced gasket.
103985,primer line clamp on number 4 intake tube of left-hand engine loose.,tightened clamp.
103986,"number 2, 3, and 4 intake gaskets leaking on right-hand engine.",removed and replaced intake gaskets on right-hand engine.
103987,"chafing damage noted on number 3 intake tube, by primer line.",inspected number 3 intake tube and primer line on right-hand engine
103988,engine scroll dirty.,cleaned engine scroll.
103989,cylinder number 3 and number 4 intake gaskets leaking.,removed and replaced intake gasket.
103990,right-hand engine number 2 intake leaking.,replaced gasket.
103991,cylinder number 1 and number 3 intake gaskets are leaking.,removed and replaced gaskets.
103992,cylinder number 2 rocker cover gasket is leaking.,removed and replaced rocker cover gasket.
103993,left-hand inboard cylinder baffling connecting rod is broken.,removed and replaced connecting rod.
103994,left engine will not start hot.,started both engines using normal procedures.
103995,forward engine black cowling seal wearing at filter.,installed black rtv in worn areas.
103996,number 3 rocker gasket is leaking.,replaced gasket.
103997,all 4 intake gaskets are leaking.,replaced gaskets.
103998,"cylinder number 1, 2 and 4 rocker cover gaskets are leaking.",removed and replaced rocker cover gaskets.
103999,number 4 rocker cover leaking.,replaced rocker cover gasket.
104000,number 4 cylinder intake gasket leaking.,removed and replaced intake gasket.
104001,number 2 intake gasket leaking.,removed and replaced gasket.
104002,number 2 rocker cover gasket leaking.,removed and replaced gasket.
104003,engine forward seal black worn spots at air inlet.,applied rtv to areas.
104004,number 1 rocker cover gasket leaks.,removed and replaced gasket.
104005,cylinder number 1 rocker cover gasket is leaking.,removed and replaced rocker cover gasket.
104006,number 4 rocker cover gasket leaking.,"removed cover, cleaned and installed new silicone gasket."
104007,significant amount of oil leaking from number 4 cylinder area.,removed and replaced number 4 cylinder rocker cover gasket. ran engine
104008,small leak noted on upper engine crankcase backbone.,removed bolt on upper crankcase backbone and applied high crankcase backbone
104009,number 2 intake leaking.,removed and replaced gasket.
104010,cylinder number 2 rocker cover gasket is leaking.,removed and replaced rocker gasket.
104011,number 4 intake gasket leaking.,replaced number 4 intake gasket.
104012,number 4 rocker cover gasket leaking.,removed and replaced gasket.
104013,"numbers 2, 3 and 4 intake gaskets leaking.",removed and replaced intake gaskets.
104014,left-hand aft engine baffle cracked.,stop drilled crack and repaired baffle by patching.
104015,"rocker cover gaskets, cylinder number 2 and number 3, leaking.",removed and replaced rocker cover gaskets.
104016,number 4 intake gasket is leaking.,replaced gasket.
104017,number 3 and number 4 rocker gaskets leaking.,replaced both gaskets.
104018,number 1 cylinder baffling has a crack.,stop drilled crack.
104019,"left,hand side baffle plug has broken tabs.",replaced with new baffle plug.
104020,number 2 intake leaking on right-hand engine.,removed and replaced gasket.
104021,cylinder number 1 intake gasket leaking.,removed and replaced intake gasket.
104022,"cracked right-hand side engine baffle, next to cylinder number 1.",stop drilled crack.
104023,"number 3, and number 4 rocker cover gaskets leaking.",removed and replaced gaskets.
104024,crew requested start assist.,started engine for crew.
104025,number 4 rocker cover gasket leaking.,removed and replaced gasket.
104026,number 2 intake gasket leaking.,removed and replaced number 2 intake gasket.
104027,"previous patch repair for number 4 cylinder baffle, cracked.",fabricated new baffle patch repair out of like material
104028,"leak noted by oil return line, by accessory case.",removed oil return line at accessory case fitting.
104029,number 1 intake tube gasket leaking.,installed new intake gasket.
104030,all rocker cover screws loose.,tightened screws.
104031,number 4 aft baffle cracked.,replaced with repaired baffle.
104032,right-hand engine number 2 intake gasket is leaking.,replaced intake gasket.
104033,number 3 aft baffle cracked.,repaired with riveted patch and installed baffle.
104034,right-hand engine number 3 aft baffle seal torn.,applied rubber silicone to torn baffle seals.
104035,left-hand oil cooler needs to be replaced.,installed overhauled oil cooler
104036,"left,hand engine number 4 rear baffle has small crack and baffle seal torn",stop drilled crack and replaced section of baffle seal.
104037,nose landing gear upper cover installed incorrectly.,repositioned cover to correct position.
104038,right-hand engine inboard aft baffle at upper inboard oil cooler cracked.,"after further inspection, found part to have previously been"
104039,number 3 cylinder rocker cover gasket is leaking.,removed and replaced rocker cover gasket.
104040,cylinder number 2 rocker cover gasket is leaking.,removed and replaced gasket.
104041,"during climb out, observed momentary rpm drop around","ran up aircraft, could not duplicate discrepancy. operations check good"
