ID,PROBLEM,ACTION,CLEANED,EDIT
103701,BAFFLE PLUGS ARE WORN.,INSTALLED NEW BAFFLE PLUGS.,BAFFLE PLUGS ARE WORN. INSTALLED NEW BAFFLE PLUGS.,
103702,ENGINE BAFFLE SCREW LOOSE BEHIND OIL FILLER TUBE.,TIGHTENED SCREW.,ENGINE BAFFLE SCREW LOOSE BEHIND OIL FILLER TUBE. TIGHTENED SCREW.,
103703,CABLE SHEATH LOOSE ON PILOTS SEAT.,SECURED CABLE SHEATH. OPS CK GOOD.,CABLE SHEATH LOOSE ON PILOTS SEAT. SECURED CABLE SHEATH. OPERATIONS CHECK GOOD.,
103704,SNIFFLER VALVES DIRTY.,CLEANED BOTH SNIFFLER VALVES.,SNIFFLER VALVES DIRTY. CLEANED BOTH SNIFFLER VALVES.,
103705,#3 BAFFLE SEAL RIVETS LOOSE.,REMOVED & INSTALLED NEW RIVET IAW  SE SRM 51-40-0,NUMBER THREE BAFFLE SEAL RIVETS LOOSE. REMOVED AND INSTALLED NEW RIVET IN ACCORDANCE WITH SE STANDARD REFERENCE MANUAL FIFTY ONE FORTY ZERO,
103706,TOP BOLT ON ENGINE CASE LEAKING.,CLEANED & SEALED BOLTS.,TOP BOLT ON ENGINE CASE LEAKING. CLEANED AND SEALED BOLTS.,
103707,#4 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,NUMBER FOUR CYLINDER INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET WITH NEW.,
103708,ENGINE BAFFLE CRACKED ABOVE #1 CYL.,STOP DRILLED CRACK.,ENGINE BAFFLE CRACKED ABOVE NUMBER ONE CYLINDER. STOP DRILLED CRACK.,
103709,#2 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW INTAKE GASKET.,NUMBER TWO INTAKE TUBE GASKET LEAKING. INSTALLED NEW INTAKE GASKET.,
103710,MISSING SCREW ON CYL #3 BAFFLE.,INSTALLED SCREW.,MISSING SCREW ON CYLINDER NUMBER THREE BAFFLE. INSTALLED SCREW.,
103711,"R/H AFT ENGINE BAFFLE SCREW MISSING, SECURED TO ENGINE CASE.",INSTALLED SCREW ON ENGINE BAFFLE.,"RIGHT-HAND AFT ENGINE BAFFLE SCREW MISSING, SECURED TO ENGINE CASE. INSTALLED SCREW ON ENGINE BAFFLE.",
103712,"#1, 2, 3, 4 ROCKER COVER GASKETS NEED TO BE REPLACED.",REMOVED & REPLACED ROCKER COVER GASKETS.,"NUMBERS ONE, TWO, THREE, AND FOUR ROCKER COVER GASKETS NEED TO BE REPLACED. REMOVED AND REPLACED ROCKER COVER GASKETS.",
103713,"MISSING BAFFLE SCREW ON R/H UPPER ROCKER COVER, #1 CYL.",INSTALLED NEW BAFFLE SCREW ON R/H #1 CYL BAFFLE.,"MISSING BAFFLE SCREW ON RIGHT-HAND UPPER ROCKER COVER, NUMBER ONE CYLINDER. INSTALLED NEW BAFFLE SCREW ON RIGHT-HAND NUMBER ONE CYLINDER BAFFLE.",
103714,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,
103715,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,CYLINDER NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103716,"ROCKER COVER GASKET, CYL #3, LEAKING.",REMOVED & REPLACED ROCKER COVER GASKET.,"ROCKER COVER GASKET, CYLINDER NUMBER THREE, LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.",
103717,L/H #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103718,R/H #4 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.,RIGHT-HAND NUMBER FOUR ROCKER COVER IS LEAKING. REPLACED ROCKER COVER GASKET.,
103719,"L/H #3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,"LEFT-HAND NUMBER THREE, AND NUMBER FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED GASKETS.",
103720,L/H ENG BAFFLE TIE ROD IS RUBBING ON #2 OIL RETURN LINE CLAM,REPOSITIONED CLAMP.,LEFT-HAND ENGINE BAFFLE TIE ROD IS RUBBING ON NUMBER TWO OIL RETURN LINE CLAMP. REPOSITIONED CLAMP.,CUTOFF - C
103721,#3 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW INTAKE TUBE GASKET.,NUMBER THREE INTAKE TUBE GASKET LEAKING. INSTALLED NEW INTAKE TUBE GASKET.,
103722,#4 INATKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,NUMBER FOUR INATKE GASKET LEAKING. REMOVED AND REPLACED WITH NEW GASKET.,
103723,#1 ROCKER COVER GASKET LEAKING.,"REMOVED, CLEANED & REPLACED GASKET.","NUMBER ONE ROCKER COVER GASKET LEAKING. REMOVED, CLEANED AND REPLACED GASKET.",
103724,BAFFLE SCREW BEHIND DIPSTICK MISSING.,INSTALLED SCREW IN BAFFLE & RESAFETY WIRED DIPSTICK TUB,BAFFLE SCREW BEHIND DIPSTICK MISSING. INSTALLED SCREW IN BAFFLE AND RESAFETY WIRED DIPSTICK TUBE,CUTOFF - C
103725,OIL COOLER TIMED OUT.,REMOVED & REPLACED OIL COOLER. INSTALLED OI,OIL COOLER TIMED OUT. REMOVED AND REPLACED OIL COOLER. INSTALLED OIL COOLER,CUTOFF - C
103726,RIVET PULLED THROUGH ENGINE BAFFLE SEAL ABOVE #2 CYL.,REMOVED RIVET & SECURED BAFFLE W/ LIKE HARDWARE.,RIVET PULLED THROUGH ENGINE BAFFLE SEAL ABOVE NUMBER TWO CYLINDER. REMOVED RIVET AND SECURED BAFFLE WITH LIKE HARDWARE.,
103727,"#2, 3 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"NUMBER TWO, AND NUMBER THREE ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
103728,FOD ON OIL COOLER,REMOVED FOD OFF OIL COOLER,FOD ON OIL COOLER. REMOVED FOD OFF OIL COOLER,
103729,FOD ON TOP OF ENGINE,REMOVED FOD FROM TOP OF ENGINE,FOD ON TOP OF ENGINE. REMOVED FOD FROM TOP OF ENGINE,
103730,#2 CYL ROCKER COVER GASKET LEAKING.,REPLACED ROCKER COVER GASKET.,NUMBER TWO CYLINDER ROCKER COVER GASKET LEAKING. REPLACED ROCKER COVER GASKET.,
103731,R/H ENG #2 & 4 INTAKE HAVE SLIGHT LEAK.,REPLACED GASKETS.,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER FOUR INTAKE HAVE SLIGHT LEAK. REPLACED GASKETS.,
103732,ROCKER COVER GASKET CYL #2 LEAKING.,REMOVED & REPLACED GASKET.,ROCKER COVER GASKET CYLINDER NUMBER TWO LEAKING. REMOVED AND REPLACED GASKET.,
103733,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103734,LEFT ENGINE LOWER FIRE SEAL LOOSE.,REPLACED SEAL.,LEFT ENGINE LOWER FIRE SEAL LOOSE. REPLACED SEAL.,
103735,R/H ENG INTAKE SCREEN LOOSE.,REPLACED R/H ENGINE INTAKE SCREEN.,RIGHT-HAND ENGINE INTAKE SCREEN LOOSE. REPLACED RIGHT-HAND ENGINE INTAKE SCREEN.,
103736,"1 FIRST STAGE COMPRESSOR BLADE HAS DAMAGE, NEAR TIP.",INSPECTED & FOUND NICKED LEADING EDGE FIRST STAGE COMPR,"ONE FIRST STAGE COMPRESSOR BLADE HAS DAMAGE, NEAR TIP. INSPECTED AND FOUND NICKED LEADING EDGE FIRST STAGE COMPRESSOR BLADE",CUTOFF - C
103737,R/H ENG AFT BAFFLE SUPPORT BRACKET RIVETS ARE SHEARED.,REMOVED BAFFLE. INSTALLED NEW RIVETS IAW,RIGHT-HAND ENGINE AFT BAFFLE SUPPORT BRACKET RIVETS ARE SHEARED. REMOVED BAFFLE. INSTALLED NEW RIVETS IN ACCORDANCE WITH REFERENCE MANUAL,ANON
103738,R/H ENG #3 INTAKE TUBE GASKET LEAKING.,REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER THREE INTAKE TUBE GASKET LEAKING. REPLACED GASKET.,
103739,R/H ENG #2 & 3 ROCKER BOX COVER GASKET LEAKING.,REPLACED GASKETS.,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER THREE ROCKER BOX COVER GASKET LEAKING. REPLACED GASKETS.,
103740,L/H ENG #2 & 4 INTAKE TUBE GASKETS LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,LEFT-HAND ENGINE NUMBER TWO AND NUMBER FOUR INTAKE TUBE GASKETS LEAKING. REMOVED AND REPLACED WITH NEW GASKETS.,
103741,R/H ENG #2 & 4 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103742,"#1, 2 & 4 CYL ROCKER COVER GASKETS ARE LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.,"NUMBERS ONE, TWO AND FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED WITH NEW GASKETS.",
103743,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103744,#1 CYL BAFFLE SEAL LOOSE.,SECURED SEAL.,NUMBER ONE CYLINDER BAFFLE SEAL LOOSE. SECURED SEAL.,
103745,"#1, 2 CYL ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,"NUMBER ONE, AND NUMBER TWO CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED GASKETS.",
103746,#2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER TWO INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103747,#2 & 4 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVERS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103748,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103749,#3 & 4 ROCKER GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER THREE AND NUMBER FOUR ROCKER GASKETS LEAKING. REMOVED AND REPLACED GASKETS.,
103750,LEFT O/B BAFFLE TIE WIRE BROKEN.,INSTALLED BAFFLE TIE LISTED IN  PARTS MANUAL. FOU,LEFT OUTBOARD BAFFLE TIE WIRE BROKEN. INSTALLED BAFFLE TIE LISTED IN  PARTS MANUAL.,CUTOFF - T
103751,INTAKES 3 & 4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,INTAKES THREE AND FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103752,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,"RUN UP, OPS & LEAK CK OK.","NUMBER THREE EXHAUST VALVE LEAKING ON RIGHT-HAND ENGINE. RUN UP, OPERATIONS AND LEAK CHECK OK.",
103753,R/H ENG CYL #4 SIDE BAFFLE SEAL IS COMING LOOSE.,RESECURED LOOSE SEAL.,RIGHT-HAND ENGINE CYLINDER NUMBER FOUR SIDE BAFFLE SEAL IS COMING LOOSE. RESECURED LOOSE SEAL.,
103754,R/H CYL #3 AFT BAFFLE IS CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW,RIGHT-HAND CYLINDER NUMBER THREE AFT BAFFLE IS CRACKED. FABRICATED PATCH OF LIKE MATERIAL AND RIVETED IN ACCORDANCE WITH REFERENCE MANUAL,ANON
103755,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,"INSTALLED CYL ROCKERS, CYL BAFFLE, TORQUED SPARK PLUGS","NUMBER THREE EXHAUST VALVE LEAKING ON RIGHT-HAND ENGINE. INSTALLED CYLINDER ROCKERS, CYLINDER BAFFLE, TORQUED SPARK PLUGS",
103756,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,TRIED TO STAKE VALVE W/ NO AFFECT. ROCKER COVER IS REMO,NUMBER THREE EXHAUST VALVE LEAKING ON RIGHT-HAND ENGINE. TRIED TO STAKE VALVE WITH NO EFFECT. ROCKER COVER IS REMOVED,CUTOFF - C
103757,#3 EXHAUST VALVE LEAKING ON R/H ENGINE.,REMOVED & INSTALLED REPAIRED CYL ASSY. TORQUED MOUNTING,NUMBER THREE EXHAUST VALVE LEAKING ON RIGHT-HAND ENGINE. REMOVED AND INSTALLED REPAIRED CYLINDER ASSEMBLY. TORQUED MOUNTING,
103758,"L/H ENG, L/H FWD BAFFLE SEAL IS LOOSE.",RESECURED BAFFLE SEAL.,"LEFT-HAND ENGINE, LEFT-HAND FORWARD BAFFLE SEAL IS LOOSE. RESECURED BAFFLE SEAL.",
103759,INTAKE GASKET CYL #4 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103760,L/H FWD ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND FORWARD ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.,
103761,L/H REAR ENGINE BAFFLE SUPPORT CRACKED.,FABRICATED NEW BAFFLE SUPPORT OF LIKE MATERIAL & RIVETE,LEFT-HAND REAR ENGINE BAFFLE SUPPORT CRACKED. FABRICATED NEW BAFFLE SUPPORT OF LIKE MATERIAL AND RIVETED,CUTOFF - C
103762,INTAKES #2 & 4 LEAKING ON R/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,INTAKES NUMBER TWO AND NUMBER FOUR LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKETS.,
103763,R/H ENG #1 CYL HAS LOW COMPRESSIONS (55 PSI).,"STAKED EXHAUST VALVE, OPS CK GOOD ON COMPRESSIONS. REMO","RIGHT-HAND ENGINE NUMBER ONE CYLINDER HAS LOW COMPRESSIONS, FIFTY FIVE PSI. STAKED EXHAUST VALVE, OPERATIONS CHECK GOOD ON COMPRESSIONS.","CUTOFF - T, PUNC - B"
103764,"#2, 3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.,"NUMBERS TWO, THREE, AND FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED INTAKE GASKETS.",
103765,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #4 ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER FOUR ROCKER COVER GASKET.,
103766,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103767,#4 CYL INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER FOUR CYLINDER INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103768,L/H ENG #1 & 4 ROCKER COVERS ARE LEAKING.,REPLACED GASKETS.,LEFT-HAND ENGINE NUMBER ONE AND NUMBER FOUR ROCKER COVERS ARE LEAKING. REPLACED GASKETS.,
103769,"L/H & R/H ENG FIREWALLS NEED TO BE SEALED, WHERE ENG CONTROL",CLEANED FIREWALL ON BOTH ENGINES & APPLIED FIREWALL SEA,LEFT-HAND AND RIGHT-HAND ENGINE FIREWALLS NEED TO BE SEALED. CLEANED FIREWALL ON BOTH ENGINES AND APPLIED FIREWALL SEALANT,"CUTOFF - C, CUTOFF - T"
103770,"R/H ENG, R/H BAFFLE TIE ROD IS RUBBING ON OIL RETURN LINE HO",MOVED R/H ENG BAFFLE TIE ROD OFF OF OIL RETURN LINE HOS,"RIGHT-HAND ENGINE, RIGHT-HAND BAFFLE TIE ROD IS RUBBING ON OIL RETURN LINE HOSE. MOVED RIGHT-HAND ENGINE BAFFLE TIE ROD OFF OF OIL RETURN LINE HOSE",CUTOFF - C
103771,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #3 INTAKE GASKET.,NUMBER THREE INTAKE LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED NUMBER THREE INTAKE GASKET.,
103772,#2 INTAKE GASKET LEAKING.,REPLACED INTAKE GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REPLACED INTAKE GASKET.,
103773,BOTH ENG BAFFLE PLUGS WORN.,REPLACED PLUGS.,BOTH ENGINE BAFFLE PLUGS WORN. REPLACED PLUGS.,
103774,TOP BOLT ON CRANKCASE HAS OIL LEAK.,"REMOVED BOLT, APPLIED SEALANT TO BOLT & REINSTALLED BOL","TOP BOLT ON CRANKCASE HAS OIL LEAK. REMOVED BOLT, APPLIED SEALANT TO BOLT AND REINSTALLED BOLT",CUTOFF - C
103775,FOD ON TOP OF ENGINE,REMOVED FOD FROM TOP OF ENGINE,FOD ON TOP OF ENGINE. REMOVED FOD FROM TOP OF ENGINE,
103776,OIL COOLER BOLT BACKED OFF,TIGHTENED BOLT ON THE OIL COOLER,OIL COOLER BOLT BACKED OFF. TIGHTENED BOLT ON THE OIL COOLER,
103777,#4 & 1 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER FOUR AND NUMBER ONE INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103778,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED #2 ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO ROCKER COVER GASKET.,
103779,CRACKS NOTED EXTENDING FROM RIVET ON INSIDE OF #! CYL BAFFLE,"STOP DRILLED CRACKS ON #1 CYL BAFFLE, ON INSIDE.","CRACKS NOTED EXTENDING FROM RIVET ON INSIDE OF NUMBER ONE CYLINDER BAFFLE. STOP DRILLED CRACKS ON NUMBER ONE CYLINDER BAFFLE, ON INSIDE.",
103780,ENGINE R/H REAR BAFFLE SUPPORT BRACKET LOOSE.,"REMOVED REAR BAFFLE, DRILLED OUT RIVETS ON BAFFLE SUPPO","ENGINE RIGHT-HAND REAR BAFFLE SUPPORT BRACKET LOOSE. REMOVED REAR BAFFLE, DRILLED OUT RIVETS ON BAFFLE SUPPORT",CUTOFF - C
103781,#4 INTAKE LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET.,
103782,DAMAGED GROMMET FOR OIL PRESSURE SWITCH WIRE HARNESS THROUGH,"REMOVED & REPLACED GROMMET. INSPECTED WIRES FOR DAMAGE,","DAMAGED GROMMET FOR OIL PRESSURE SWITCH WIRE HARNESS. REMOVED AND REPLACED GROMMET. INSPECTED WIRES FOR DAMAGE,",CUTOFF - T
103783,"AFT L/H ENGINE BAFFLE CRACKED, TOP CORNER NEXT TO CYL #4.",STOP DRILLED CRACK.,"AFT LEFT-HAND ENGINE BAFFLE CRACKED, TOP CORNER NEXT TO CYLINDER NUMBER FOUR. STOP DRILLED CRACK.",
103784,OIL COLLECTING ON BOTTOM OF L/H NACELLE. POOLING ON INTERIOR,INSPECTED. REPALCED O-RING ON ENGINE BREATHER FITTING.,OIL COLLECTING ON BOTTOM OF LEFT-HAND NACELLE. POOLING ON INTERIOR INSPECTED. REPALCED O-RING ON ENGINE BREATHER FITTING.,
103785,OIL COLLECTING ON BOTTOM OF L/H NACELLE. POOLING ON INTERIOR,"ADDED, RAN, NO LEAKS OR SEEP FOUND. COWLED &","OIL COLLECTING ON BOTTOM OF LEFT-HAND NACELLE. POOLING ON INTERIOR. ADDED, RAN, NO LEAKS OR SEEP FOUND.",CUTOFF - T
103786,OIL COLLECTING ON BOTTOM OF L/H NACELLE. POOLING ON INTERIOR,REMOVED L/H LOWER NACELLE PANEL. BEGAN VISUAL INSP TO F,OIL COLLECTING ON BOTTOM OF LEFT-HAND NACELLE. POOLING ON INTERIOR. REMOVED LEFT-HAND LOWER NACELLE PANEL. BEGAN VISUAL INSPECTION,CUTOFF - T
103787,START ASSIST ON L/H ENGINE.,STARTED A/C FOR PILOT.,START ASSIST ON LEFT-HAND ENGINE. STARTED AIRCRAFT FOR PILOT.,
103788,"DURING CRUISE, RPM OVERSPED, HIGHEST NUMBER SEEN WAS 2740. N",ANALYZED FDM CARD DATA. FOUND TO BE MOMENTARY OVERSPEED,"DURING CRUISE, RPM OVERSPED, HIGHEST NUMBER SEEN WAS TWENTY SEVEN HUNDRED AND FORTY. ANALYZED FDM CARD DATA. FOUND TO BE MOMENTARY OVERSPEED",CUTOFF - T
103789,CREW WAS UNABLE TO START L/H ENGINE.,GOT L/H ENGINE STARTED FOR CREW.,CREW WAS UNABLE TO START LEFT-HAND ENGINE. GOT LEFT-HAND ENGINE STARTED FOR CREW.,
103790,"START ASSIST, L/H ENGINE.",STARTED L/H ENGINE FOR PILOT.,"START ASSIST, LEFT-HAND ENGINE. STARTED LEFT-HAND ENGINE FOR PILOT.",
103791,ENGINE IDLE SPEED AT 780 RPM.,"RAN UP A/C, UNABLE TO DUPLICATE DISCREPANCY. OPS CK GOO","ENGINE IDLE SPEED AT SEVEN HUNDRED AND EIGHTY RPM. RAN UP AIRCRAFT, UNABLE TO DUPLICATE DISCREPANCY. OPERATIONS CHECK GOOD",CUTOFF - C
103792,#2 & 3 INTAKE GASKETS LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER THREE INTAKE GASKETS LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED GASKETS.,
103793,#2 & 3 CYLINDER ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER THREE CYLINDER ROCKER COVERS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
103794,R/H ENG #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER THREE INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
103795,ALL VALVE COVERS LOOSE.,TIGHTENED ALL COVERS.,ALL VALVE COVERS LOOSE. TIGHTENED ALL COVERS.,
103796,1 BAFFLE BUTTON WORN.,"REPLACED W/ NEW, R/H SIDE.","ONE BAFFLE BUTTON WORN. REPLACED WITH NEW, RIGHT-HAND SIDE.",
103797,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED NUMBER TWO INTAKE GASKET.,
103798,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
103799,"FWD BAFFLE SEAL WORN, BY AIR FILTER.",APPLIED RTV TO WORN AREAS.,"FORWARD BAFFLE SEAL WORN, BY AIR FILTER. APPLIED RTV TO WORN AREAS.",
103800,"L/H ENG, L/H REAR ENGINE BAFFLE CRACKED.",STOP DRILLED CRACK.,"LEFT-HAND ENGINE, LEFT-HAND REAR ENGINE BAFFLE CRACKED. STOP DRILLED CRACK.",
103801,R/H ENG #3 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,RIGHT-HAND ENGINE NUMBER THREE AND NUMBER FOUR INTAKE GASKETS LEAKING. REMOVED AND REPLACED GASKETS.,
103802,L/H ENG #3 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,LEFT-HAND ENGINE NUMBER THREE INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103803,"#2 & 3 ROCKER COVER GASKETS LEAKING, L/H ENGINE.",REMOVED & REPLACED ROCKER COVER GASKETS.,"NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS LEAKING, LEFT-HAND ENGINE. REMOVED AND REPLACED ROCKER COVER GASKETS.",
103804,#3 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,NUMBER THREE AND NUMBER FOUR INTAKES LEAKING. REMOVED AND REPLACED INTAKE GASKETS.,
103805,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL.","RAN ENGINE, LEAK CK GOOD.","OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL. RAN ENGINE, LEAK CHECK GOOD.",
103806,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL.",REPLACED CRANKSHAFT OIL SEAL IAW LYCOMING . REI,"OIL LEAK AT FRONT LOWER PORTION OF CRANKCASE, NEAR OIL SEAL. REPLACED CRANKSHAFT OIL SEAL IN ACCORDANCE WITH LYCOMING .",CUTOFF - T
103807,SCREW MISSING FROM #3 SIDE BAFFLE.,INSTALLED SCREW.,SCREW MISSING FROM NUMBER THREE SIDE BAFFLE. INSTALLED SCREW.,
103808,#3 INTAKE TUBE GASKET IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER THREE INTAKE TUBE GASKET IS LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103809,#2 ROCKER BOX COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER BOX COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
103810,L/H ENG #2 FWD ENGINE BAFFLE LOOSE.,"CLEANED THREADS, INSTALLED PROPER SCREW.","LEFT-HAND ENGINE NUMBER TWO FORWARD ENGINE BAFFLE LOOSE. CLEANED THREADS, INSTALLED PROPER SCREW.",
103811,R/H ENG #1 ROCKER BOX COVER GASKET LEAKING.,REPLACED GASKET W/ NEW SILICONE GASKET.,RIGHT-HAND ENGINE NUMBER ONE ROCKER BOX COVER GASKET LEAKING. REPLACED GASKET WITH NEW SILICONE GASKET.,
103812,R/H ENG #2 CYL COMPRESSION 15/80 (EXHAUST LEAK).,REMOVED CYL FROM ENGINE. REMOVED BOTH EXHAUST & INTAKE,"RIGHT-HAND ENGINE NUMBER TWO CYLINDER COMPRESSION FIFTEEN OUT OF EIGHTY, EXHAUST LEAK. REMOVED CYLINDER FROM ENGINE. REMOVED BOTH EXHAUST AND INTAKE",PUNC - B
103813,R/H ENG #2 CYL COMPRESSION 15/80 (EXHAUST LEAK).,"REINSTALLED CYL, TORQUED TO SPECS. CK DRY VALVE CLEARAN","RIGHT-HAND ENGINE NUMBER TWO CYLINDER COMPRESSION FIFTEEN OUT OF EIGHTY, EXHAUST LEAK. REINSTALLED CYLINDER, TORQUED TO SPECS. CHECK DRY VALVE CLEARANCE","CUTOFF - C, PUNC - B"
103814,#4 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,NUMBER FOUR INTAKE LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
103815,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED #4 INTAKE GASKET.,NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET.,
